朝比奈真冬,媽媽，早安。
真冬的母親,哎呀，妳今天很早起耶。 
早上有什麼事嗎？
朝比奈真冬,嗯，有股長會議的工作要做。
真冬的母親,這樣啊……真辛苦。
真冬的母親,我想這代表妳很受人信任。 
不過要是妳不想做，記得跟老師說 
比起股長會議的工作，妳更想專心唸書。
朝比奈真冬,……嗯，我知道了。 
要是覺得會造成負擔，我會去跟老師說說看的。
朝比奈真冬,那我出門了。 
今天要補習，我會比較晚回家。
真冬的母親,啊，這麼說來， 
今天是新課程的第一天呢。
真冬的母親,媽媽今天有社區自治會的工作，會晚點回來。 
所以不好意思，妳要自己解決晚餐了。
朝比奈真冬,嗯，我知道了。 
……啊，我把媽媽的份也做起來放冰箱吧？ 
這樣妳回來就能馬上吃了。
真冬的母親,呵呵，謝謝。 
不過我應該會跟會員們一起吃晚餐， 
所以不用做我的。
真冬的母親,今天爸爸好像也會晚點回來， 
妳準備自己的就好了。
朝比奈真冬,我知道了，媽媽工作加油。 
……我出門了。
真冬的母親,路上小心。
朝比奈真冬,……朝會前的工作，應該能在一小時內完成。
朝比奈真冬,（放學前要預習完補習班的課程， 
結果昨天還是沒辦法預習……）
朝比奈真冬,（然後要把弓道社一年級生的指導計畫給老師…… 
放學後要開班級代表的定期會議，好像還有社團吧。）
朝比奈真冬,看來今天會很忙。
朝比奈真冬,…………頭好痛。
老師,抱歉啊，朝比奈同學， 
讓妳在做股長會議的工作時還要幫忙搬東西。
朝比奈真冬,哪裡…… 
這些東西讓老師一個人搬太多了，能幫上老師的忙就好。
老師,謝謝妳，妳真的很熱心， 
幫了老師很大的忙。
朝比奈真冬,呵呵，我只是做了我該做的事情。
朝比奈真冬,（……花了比預期更多時間。）
朝比奈真冬,（放棄利用早上的時間唸書， 
把午休挪一半來用吧。 
剩下的再用休息時間慢慢完成就……）
真冬的同學,真冬～ 
有個人說是妳社團的學妹，有事情要找妳～
朝比奈真冬,啊，嗯，我現在就過去。 
……怎麼了？發生什麼事了嗎？
社團學妹,學、學姐！
社團學妹,那個，我剛才在整理備用品， 
結果發現橡皮弓比記錄的數量少了一把……！
朝比奈真冬,少了一把？ 
應該不會啊…… 
妳都仔細確認過了嗎？
社團學妹,都確認過了！ 
但是不管我數幾次，數量都不對……
朝比奈真冬,……這樣啊。
朝比奈真冬,說不定是有人帶回家練習， 
結果忘記還回去了。
朝比奈真冬,我午休會去體育器材倉庫確認， 
可以請妳先去跟老師報備嗎？
社團學妹,好的！ 
謝謝學姐！
朝比奈真冬,…………
朝比奈真冬,……今天可能沒時間吃午餐了……
朝比奈真冬,……社團活動終於結束了。
朝比奈真冬,（接下來是……補習班啊。 
雖然好不容易趁休息時間的空檔， 
完成預習了……）
朝比奈真冬,…………唉。
朝比奈真冬,（頭痛……好像越來越嚴重了。）
朝比奈真冬,（補習要遲到了…… 
對了，如果在公園的長椅上休息一下……）
朝比奈真冬,奇怪……
朝比奈真冬,怎麼…………看不清楚前面…………
朝比奈真冬,…………！
宵崎奏,（今天爸爸的狀況看起來不錯。）
宵崎奏,（下次去如果爸爸醒著，就徵求醫師同意， 
一起吃他喜歡的點心吧。）
宵崎奏,……？ 
咦……
宵崎奏,那個公園長椅旁邊蹲著的是……
宵崎奏,……！ 
真、真冬！
宵崎奏,真冬，妳怎麼了！？ 
妳還好嗎……！？
朝比奈真冬,…………嗚。
宵崎奏,啊，對喔。 
真冬感冒了……！
宵崎奏,妳還好嗎？ 
妳認得出我嗎？
朝比奈真冬,…………奏？
宵崎奏,……好燙。
宵崎奏,真冬，妳家在哪？ 
能聯絡上父母或其他能來接妳的人嗎？
朝比奈真冬,媽媽…… 
現在……不在家……
宵崎奏,這樣啊……
宵崎奏,（……怎麼辦？）
宵崎奏,（就算要送真冬回家， 
但看她現在這樣，應該也沒辦法告訴我怎麼走…… 
可是也不能把她丟在這裡……）
朝比奈真冬,…………
宵崎奏,（對了，從這裡去我家的話……！）
宵崎奏,真冬，妳站得起來嗎？
宵崎奏,我會扶著妳的，再撐一下。
